VOTERID,LAST-NAME,FIRST-NAME,MID-INIT,SUFFIX,DATE-OF-BIRTH,BIRTH YEAR,PHONE,ADDR,HOME-NO,HOME-APT,HOME-STREET,HOME-DEV,HOME-CITY,HOME-ZIPCODE,COUNTY,ED,RD,SD,CNLEVY,WILM,CODE-HOME-CITY,SCH-DIST,PARTY,DATE-REG,PP-HIST-1,PP-HIST-2,PR-HIST-1,PR-HIST-2,PR-HIST-3,GEN-HIST-1,GEN-HIST-2,GEN-HIST-3,GEN-HIST-4,GEN-HIST-5,SP-HIST-1,SP-HIST-2,SP-HIST-3,SCHL-HIST-1,SCHL-HIST-2,SCHL-HIST-3,SCHL-HIST-4,SCHL-HIST-5,REF-HIST-1,REF-HIST-2,REF-HIST-3,REF-HIST-4,REF-HIST-5,MAIL-NO,MAIL-APT,MAIL-STR,MAIL-CITY,MAIL-STATE,MAIL-ZIP,DATE-LAST-CHG,CODE-CHANGE,STATUS,GENDER
100521006,LANNISTER,TYRION ,C,,19941023,1984,8332367215,990 CASTERLY ROCK,990,8,CASTERLY ROCK,,THE WESTERLAND,85904,E,9,15,3,6,11,,RC,R,20121203,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20121203,CR,A,M
100018132,LANNISTER,CERSEI ,E,,19870602,1985,8339309918,304 CASTERLY ROCK,304,14,CASTERLY ROCK,,THE WESTERLAND,85904,E,9,15,3,6,11,,RC,R,20050716,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20050716,CR,A,F
100806521,TARGARYEN,DAENERYS ,W,Sr.,20000521,2005,6417708258,1 DRAGONSTONE,1,12,DRAGONSTONE,,BLACKWATER BAY,18438,E,11,18,3,7,2,,RC,D,20180609,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20180609,CR,A,F
100357546,SNOW,JON ,Z,,19990102,2004,8039216942,221 WINTERFELL,221,17,WINTERFELL,,THE NORTH,62052,C,49,75,13,8,7,,RC,I,20170103,0,0,0,0,0,0,0,0,0,2008,,,,,,,,,,,,,,,,,,,,20170103,CR,A,M
100219712,STARK,SANSA ,L,,20000311,,8039063400,178 WINTERFELL,178,14,WINTERFELL,,THE NORTH,62052,C,49,75,13,8,7,,RC,D,20180326,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20180326,CR,A,F
100951980,STARK,ARYA ,I,,20090330,2011,8038917338,475 WINTERFELL,475,16,WINTERFELL,,THE NORTH,62052,C,49,75,13,8,7,,RC,D,20170407,0,0,0,0,0,0,0,2012,0,2008,,,,,,,,,,,,,,,,,,,,20170407,CR,A,F
100328152,MORMONT,JORAH ,T,Jr.,19740717,2007,3742438538,367 BEAR ISLAND,367,1,BEAR ISLAND,,THE NORTH,59271,E,3,6,1,3,5,,RC,R,19920822,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,19920822,U,A,M
100051124,LANNISTER,JAIME ,C,,19871104,2009,8335339504,476 CASTERLY ROCK,476,8,CASTERLY ROCK,,THE WESTERLAND,85904,E,9,15,3,6,11,,RC,D,20060116,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20060116,CR,A,M
100269903,TARLY,SAMWELL ,P,,20041228,2000,4995982184,172 HORN HILL,172,10,HORN HILL,,THE REACH,26125,E,17,27,5,1,8,,RC,I,20130218,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20130218,CR,A,M
100930465,GREYJOY,THEON ,L,,20000912,1981,6775795680,983 PYKE,983,11,PYKE,,THE IRON ISLANDS,91349,E,27,42,7,6,7,,RC,G,20161021,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20161021,CR,A,M
100644192,BAELISH,PETYR ,F,,19890726,1987,3209767548,270 THE FINGERS,270,15,THE FINGERS,,THE VALE OF ARRYN,72973,E,39,60,10,3,8,,RC,I,20070926,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20070926,CR,A,M
100215297,CHAR,VARYS,P,,19750228,2004,4608259083,962 LYS,962,13,LYS,,THE FREE CITIES,53801,A,23,36,6,4,3,,RC,R,19930227,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,19930227,CR,A,M
100383748,KNIGHT,BRIENNE ,H,SR.,20010302,1987,6534421659,784 TARTH,784,12,TARTH,,THE STORMLANDS,16175,E,13,21,4,8,4,,RC,D,20170410,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20170410,CR,A,F
100195374,LANNISTER,TYWIN ,E,,19630907,2001,8339979994,709 CASTERLY ROCK,709,4,CASTERLY ROCK,,THE WESTERLAND,85904,E,9,15,3,6,11,,RC,R,19811017,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,19811017,CR,A,M
100920557,CLEGANE,SANDOR ,S,,19910725,1997,7432805518,72 UNKNOWN,72,7,UNKNOWN,,UNKNOWN,95952,D,43,66,11,5,1,,RC,I,20090902,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20090902,CR,A,M
100745117,KNIGHT,BRONN,X,,19840205,1958,7431543298,211 UNKNOWN,211,2,UNKNOWN,,UNKNOWN,95952,D,43,66,11,5,1,,RC,R,20020303,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20020303,CR,A,M
100924478,BARATHEON,JOFFREY ,F,,20071221,1963,6442115239,739 KING'S LANDING,739,6,KING'S LANDING,,THE CROWNLANDS,63874,E,19,30,5,2,10,,RC,R,20160116,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20160116,CR,A,M
100520499,SELMY,BARRISTAN ,O,,19581227,2013,4993606188,326 HORN HILL,326,1,HORN HILL,,THE REACH,26125,E,17,27,5,1,8,,RC,D,19770111,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,19770111,CR,A,M
100749125,STARK,BRAN ,Z,,19900703,1989,8036391639,218 WINTERFELL,218,17,WINTERFELL,,THE NORTH,62052,C,49,75,13,8,7,,RC,D,20080726,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20080726,CR,A,M
100823129,STARK,CATELYN ,G,,19850228,2001,3258323027,12 RIVERRUN,12,4,RIVERRUN,,THE RIVERLANDS,88998,E,29,45,8,7,9,,RC,D,20030306,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20030306,CR,A,F
100642144,BARATHEON,STANNIS ,L,III,19850613,2007,3082013109,89 STORM'S END,89,19,STORM'S END,,THE STORMLANDS,83638,E,31,48,8,8,11,,RC,L,20030825,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20030825,CR,A,M
100887850,SNOW,MISSANDEI,V,,19890910,2012,1746435862,70 NAATH,70,19,NAATH,,SOTHORYOS,37592,B,25,39,7,5,5,,RC,D,20071013,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20071013,CR,A,F
100845849,PAYNE,PODRICK ,W,,19820619,2011,7436928489,47 UNKNOWN,47,14,UNKNOWN,,UNKNOWN,95952,D,43,66,11,5,1,,RC,R,20000622,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20000622,CR,A,M
100385379,STARK,ROBB ,T,,20040316,2016,8037303739,160 WINTERFELL,160,11,WINTERFELL,,THE NORTH,62052,C,49,75,13,8,7,,RC,D,20120513,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20120513,CR,A,M
100951630,TYRELL,MARGAERY ,W,,20040312,1919,5979681264,313 WESTEROS,313,16,WESTEROS,,THE REACH,33064,E,15,24,4,9,6,,RC,G,20120414,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,20120414,CR,A,F
